Thread,Time
1,0.000704
2,0.000675
3,0.000615
4,0.000787
5,0.000843
6,0.000846
7,0.000845
8,0.000851
9,0.000862
10,0.000946
11,0.000743
12,0.000606
13,0.000646
14,0.001008
15,0.000770
16,0.000789
